City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Bethel,US,41.3712,-73.414,84.29,69,0,4.61,clear sky
206,Seoul,KR,37.5683,126.9778,83.77,67,20,3.44,few clouds
207,Tucuman,AR,-26.8241,-65.2226,60.8,88,0,6.91,clear sky
208,Caravelas,BR,-17.7125,-39.2481,70.41,81,100,5.57,overcast clouds
209,Coquimbo,CL,-29.9533,-71.3436,53.33,82,100,2.3,overcast clouds
210,Tarakan,ID,3.3,117.6333,79.83,81,100,8.61,overcast clouds
211,Innisfail,AU,-17.5333,146.0333,71.98,68,97,7.52,overcast clouds
212,Gaoual,GN,11.75,-13.2,73.17,97,100,2.3,overcast clouds
213,Sao Filipe,CV,14.8961,-24.4956,78.31,83,100,9.15,light rain
214,Chifeng,CN,42.2683,118.9636,77.4,59,100,2.04,overcast clouds
215,Ikornnes,NO,62.3873,6.557,65.16,92,62,9.26,light rain
216,Souillac,MU,-20.5167,57.5167,64.78,88,75,3.44,light rain
217,Constitucion,CL,-35.3333,-72.4167,53.35,94,100,8.61,light rain
218,Sorong,ID,-0.8833,131.25,80.94,82,100,3.91,overcast clouds
219,Ambon,ID,-3.6954,128.1814,79.59,80,89,11.74,overcast clouds
220,Kruisfontein,ZA,-34.0033,24.7314,50.88,83,50,4.12,scattered clouds
221,Lavumisa,SZ,-27.31,31.892,50.4,75,0,3.53,clear sky
222,Kayiry,UA,46.9454,33.7059,76.33,48,96,9.31,overcast clouds
223,Buzmeyin,TM,38.0507,58.2056,82.13,51,20,16.11,few clouds
224,Jiayuguan,CN,39.8167,98.3,77.65,28,1,4.99,clear sky
225,Ahmadpur East,PK,29.1431,71.2598,84.6,78,98,10.8,overcast clouds
226,Lasa,IT,46.6166,10.7002,68.88,93,2,2.06,clear sky
227,Impfondo,CG,1.6381,18.0667,71.94,91,99,1.21,light rain
228,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.84,51,22,1.23,few clouds
229,Pangnirtung,CA,66.1451,-65.7125,53.06,68,92,2.04,overcast clouds
230,Puerto Leguizamo,CO,-0.1934,-74.7819,71.65,91,40,3.0,scattered clouds
231,Coihaique,CL,-45.5752,-72.0662,31.95,93,100,3.44,shower snow
232,Severo-Kurilsk,RU,50.6789,156.125,51.71,98,100,15.73,light rain
233,Mandalgovi,MN,45.7625,106.2708,68.56,40,7,13.51,light rain
234,Agadez,NE,19.75,10.25,88.21,15,0,8.46,clear sky
235,Airai,TL,-8.9266,125.4092,66.07,44,94,3.09,overcast clouds
236,Fort Myers Beach,US,26.452,-81.9481,82.99,85,0,3.44,clear sky
237,Sitka,US,57.0531,-135.33,57.09,94,100,11.5,light rain
238,Bani,DO,18.2833,-70.3333,76.86,77,67,10.96,broken clouds
239,Vore,AL,41.3908,19.655,67.42,68,0,0.0,clear sky
240,Faya,SA,18.3851,42.4509,63.12,69,100,5.82,overcast clouds
241,San Antonio,US,29.4241,-98.4936,96.26,38,0,18.41,clear sky
242,Ilave,PE,-16.0833,-69.6667,42.08,69,77,2.35,broken clouds
243,Iranshahr,IR,27.2025,60.6848,87.85,56,100,1.59,overcast clouds
244,Carnarvon,AU,-24.8667,113.6333,58.48,47,0,16.89,clear sky
245,Skjervoy,NO,70.0311,20.9714,46.4,80,48,8.72,scattered clouds
246,Okha,RU,53.5739,142.9478,68.34,76,34,13.56,light rain
247,Abu Dhabi,AE,24.4667,54.3667,91.51,80,0,3.44,clear sky
248,Cap Malheureux,MU,-19.9842,57.6142,70.52,69,4,11.1,clear sky
249,Sibu,MY,2.3,111.8167,80.91,78,40,5.75,scattered clouds
250,Ialibu,PG,-6.2821,143.9935,66.49,70,87,3.71,heavy intensity rain
251,Baijiantan,CN,45.6333,85.1833,84.52,26,10,3.33,clear sky
252,Bizhbulyak,RU,53.6967,54.2642,61.65,90,76,7.96,light rain
253,New Norfolk,AU,-42.7826,147.0587,55.92,77,75,2.44,broken clouds
254,Xinmin,CN,41.9908,122.8253,77.94,85,93,11.83,overcast clouds
255,Cururupu,BR,-1.8283,-44.8683,74.62,94,100,2.53,overcast clouds
256,Yar-Sale,RU,66.8333,70.8333,50.81,77,82,12.59,broken clouds
257,Hovd,MN,48.0056,91.6419,65.19,25,0,5.84,clear sky
258,Byron Bay,AU,-28.65,153.6167,65.95,68,2,6.8,clear sky
259,Taloqan,AF,36.7361,69.5345,84.65,19,0,5.66,clear sky
260,Dhidhdhoo,MV,6.8833,73.1,81.03,78,38,9.35,scattered clouds
261,Luderitz,NA,-26.6481,15.1594,66.81,45,0,8.08,clear sky
262,Brejo Da Madre De Deus,BR,-8.1458,-36.3711,60.62,88,26,8.39,scattered clouds
263,Potsdam,DE,52.3989,13.0657,71.11,57,55,7.29,broken clouds
264,Nakhon Phanom,TH,17.3333,104.4167,87.48,75,6,1.43,clear sky
265,Bulgan,MN,48.8125,103.5347,56.68,70,0,3.49,clear sky
266,Darnah,LY,32.767,22.6367,79.09,69,0,14.34,clear sky
267,Murray Bridge,AU,-35.1167,139.2667,58.12,81,97,16.04,light rain
268,Guican,CO,6.4618,-72.4113,49.42,92,99,3.71,light rain
269,Okhotsk,RU,59.3833,143.3,54.59,92,100,10.92,light rain
270,Panuco,MX,22.05,-98.1667,84.38,65,99,12.46,overcast clouds
271,Opuwo,NA,-18.0607,13.84,60.67,37,0,3.78,clear sky
272,Arthur,US,39.7148,-88.4723,79.93,89,26,1.99,scattered clouds
273,Vanimo,PG,-2.6741,141.3028,83.93,73,41,5.88,scattered clouds
274,Sibolga,ID,1.7427,98.7792,77.34,87,100,2.33,overcast clouds
275,Jining,CN,35.405,116.5814,83.66,69,67,11.52,broken clouds
276,Dalnegorsk,RU,44.5604,135.5701,78.78,56,54,4.07,broken clouds
277,The Valley,AI,18.217,-63.0578,82.26,79,12,22.68,few clouds
278,Luoyang,CN,34.6836,112.4536,85.1,68,6,3.13,clear sky
279,Mirganj,IN,28.55,79.2,84.87,60,88,16.49,overcast clouds
280,Lewisburg,US,35.4492,-86.7889,86.45,71,100,6.91,overcast clouds
281,Havoysund,NO,70.9963,24.6622,48.43,81,52,2.64,broken clouds
282,Bonavista,CA,48.6499,-53.1147,64.38,91,14,10.54,few clouds
283,Shingu,JP,33.7333,135.9833,84.4,64,66,5.59,broken clouds
284,Bilma,NE,18.6853,12.9164,90.45,16,2,16.64,clear sky
285,Ponta Do Sol,PT,32.6667,-17.1,83.12,37,6,3.89,clear sky
286,Huarmey,PE,-10.0681,-78.1522,63.52,85,85,10.69,overcast clouds
287,Gladstone,AU,-23.85,151.25,69.73,60,4,8.05,clear sky
288,Yichang,CN,30.7144,111.2847,90.59,61,39,2.13,scattered clouds
289,Morehead,US,37.2711,-87.1764,83.95,84,0,0.0,clear sky
290,Zwettl,AT,48.6,15.1667,66.38,72,8,3.04,clear sky
291,Nome,US,64.5011,-165.4064,56.16,62,40,4.61,scattered clouds
292,Krasnaya Gora,RU,52.9995,31.6023,58.59,98,68,9.15,broken clouds
293,San Cristobal,VE,7.7669,-72.225,71.78,92,13,2.95,few clouds
294,Terney,RU,45.0503,136.6092,71.47,77,100,5.7,overcast clouds
295,Kisanga,TZ,-7.4362,37.7034,68.41,86,66,1.88,broken clouds
296,Celina,US,40.5489,-84.5702,81.54,89,97,13.65,overcast clouds
297,Hunterville,NZ,-39.9333,175.5667,48.56,94,100,8.52,light rain
298,Augustow,PL,53.8432,22.9798,55.18,97,100,4.38,overcast clouds
299,Hasaki,JP,35.7333,140.8333,93.29,81,77,15.75,broken clouds
300,Aksu,CN,41.1231,80.2644,91.15,21,96,4.61,overcast clouds
301,Mindelo,CV,16.8901,-24.9804,80.15,74,40,4.61,scattered clouds
302,Savannakhet,LA,16.566,104.751,84.22,79,40,2.3,scattered clouds
303,Shimoda,JP,34.6667,138.95,90.1,74,97,5.41,overcast clouds
304,Severo-Yeniseyskiy,RU,60.3725,93.0408,62.49,64,78,5.06,broken clouds
305,Les Cayes,HT,18.2,-73.75,79.23,78,33,2.68,scattered clouds
306,Srivardhan,IN,18.0333,73.0167,79.14,83,100,6.04,overcast clouds
307,Virginia Beach,US,36.8529,-75.978,87.03,72,40,13.8,scattered clouds
308,Cidreira,BR,-30.1811,-50.2056,63.37,89,100,5.99,overcast clouds
309,Kyzyl-Suu,KG,42.3414,78.0056,67.73,62,22,3.06,few clouds
310,Te Anau,NZ,-45.4167,167.7167,44.85,72,98,2.46,overcast clouds
311,Grindavik,IS,63.8424,-22.4338,49.95,100,75,4.61,light intensity drizzle
312,Georgetown,MY,5.4112,100.3354,81.9,90,20,3.44,few clouds
313,Mubende,UG,0.5606,31.39,64.67,67,90,1.74,overcast clouds
314,Nsoko,SZ,-27.0333,31.95,51.06,74,0,2.98,clear sky
315,Mahebourg,MU,-20.4081,57.7,64.69,88,75,3.44,broken clouds
316,Bua Yai,TH,15.5855,102.4259,84.85,96,13,4.18,few clouds
317,Berdigestyakh,RU,62.0989,126.6992,79.36,46,8,5.79,clear sky
318,Russkiy Aktash,RU,55.0384,52.1214,66.81,81,89,4.25,overcast clouds
