City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Cabra,ES,87.66,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
428,Puerto Escondido,MX,77.22,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
429,Tanete,ID,82.69,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
434,Katsuura,JP,82.81,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
435,Nhamunda,BR,75.25,clear sky,-2.1861,-56.7131,Pousada Da Praia
437,Manadhoo,MV,81.39,overcast clouds,5.7667,73.3833,Bon Abri maldives
443,Meadow Lake,US,89.67,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
448,Champerico,GT,79.88,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
449,Lompoc,US,77.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
451,Mahibadhoo,MV,82.26,overcast clouds,3.7833,72.9667,Omadhoo Inn
452,Sinnamary,GF,77.65,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
453,Bandarbeyla,SO,77.56,overcast clouds,9.4942,50.8122,JABIR HOTEL
460,Kavieng,PG,84.7,clear sky,-2.5744,150.7967,Nusa Island Retreat
463,Doha,QA,89.58,overcast clouds,25.2867,51.5333,Doha Marriott Hotel
465,Gazanjyk,TM,79.41,overcast clouds,39.2446,55.5154,Railway motel
470,Candolim,IN,78.8,broken clouds,15.5181,73.7626,Resort Terra Paraiso
471,Limon,CR,78.49,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
473,Sabang,ID,80.8,overcast clouds,5.8933,95.3214,Hotel Citra
476,Nea Kallikratia,GR,82.65,overcast clouds,40.3167,23.0667,Aegean Blue Ξενοδοχείο
479,Palmer,US,87.35,broken clouds,42.1584,-72.3287,Wedgewood Motel
481,Atambua,ID,78.93,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
484,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
487,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
488,Mogadishu,SO,75.36,light rain,2.0371,45.3438,Hotel Juba
489,Dandong,CN,79.12,scattered clouds,40.1292,124.3947,Yiranju Farmstay
491,Lorengau,PG,85.75,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
493,Sarangani,PH,82.38,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
494,Chlorakas,CY,76.08,clear sky,34.8042,32.4083,Elysium Hotel
495,Buala,SB,86.22,light rain,-8.145,159.5921,Maringe Lagoon Lodge
499,Bourail,NC,75.97,few clouds,-21.5667,165.4833,Motel Allamanda
504,Mantiquil,PH,82.63,light rain,9.1667,123.05,Villa Maria Luisa Beach Resort
508,Fort Abbas,PK,87.67,broken clouds,29.1925,72.8536,AsAd's House
509,Jalu,LY,78.1,clear sky,29.0331,21.5482,صاحبة الفخامة
510,Kudahuvadhoo,MV,81.93,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
511,Vila Franca Do Campo,PT,76.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
512,Sa Kaeo,TH,82.51,scattered clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
513,Makakilo City,US,84.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
517,Mamallapuram,IN,83.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
519,Matay,EG,77.41,clear sky,28.419,30.7792,Nag Aespen
521,Half Moon Bay,US,80.46,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
523,Dong Hoi,VN,85.82,broken clouds,17.4833,106.6,Nam Long Hotel
526,Bama,NG,78.03,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
527,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
530,Baiyin,CN,76.77,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
532,Gusau,NG,76.3,broken clouds,12.1628,6.6614,GUEST INN
533,Kantunilkin,MX,79.92,overcast clouds,21.0917,-87.45,Posada Paraiso
534,Ca Mau,VN,84.51,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
537,Tomatlan,MX,79.32,broken clouds,19.9333,-105.25,El Salvial
538,Mayo,US,88.27,clear sky,38.8876,-76.5119,Resorts Resource Group International
